,strAudioPath,nAppenAudioTime(UTC ms),nAudioVadEndPoint(ms),nMsgCallBackTime(UTC ms),nFinalResultTime(ms),,,,<1.2s,1.2s-2s,2s-3s,>3s
stock,/data/AIUI/sr/600/0356-02.pcm,1.49932E+12,1840,1.49932E+12,2215,,,,FALSE,FALSE,TRUE,FALSE
stock,/data/AIUI/sr/600/0357-01.pcm,1.49932E+12,1860,1.49932E+12,2057,,,,FALSE,FALSE,TRUE,FALSE
stock,/data/AIUI/sr/600/0357-02.pcm,1.49932E+12,2150,1.49932E+12,2057,,,,FALSE,FALSE,TRUE,FALSE
stock,/data/AIUI/sr/600/0357-03.pcm,1.49932E+12,2930,1.49932E+12,1780,,,,FALSE,TRUE,FALSE,FALSE
stock,/data/AIUI/sr/600/0358-01.pcm,1.49932E+12,2280,1.49932E+12,1925,,,,FALSE,TRUE,FALSE,FALSE
stock,/data/AIUI/sr/600/0358-02.pcm,,,,,,,,FALSE,FALSE,FALSE,FALSE
stock,/data/AIUI/sr/600/0358-03.pcm,1.49932E+12,2560,1.49932E+12,1724,,,,FALSE,TRUE,FALSE,FALSE
stock,/data/AIUI/sr/600/0359-01.pcm,1.49932E+12,1360,1.49932E+12,1563,,,,FALSE,TRUE,FALSE,FALSE
stock,/data/AIUI/sr/600/0359-02.pcm,1.49932E+12,2140,1.49932E+12,1849,,,,FALSE,TRUE,FALSE,FALSE
stock,/data/AIUI/sr/600/0359-03.pcm,1.49932E+12,1620,1.49932E+12,1683,,,,FALSE,TRUE,FALSE,FALSE
telephone,/data/AIUI/sr/600/0343-03.pcm,1.49932E+12,1640,1.49932E+12,3317,,1894,,FALSE,FALSE,FALSE,TRUE
telephone,/data/AIUI/sr/600/0360-01.pcm,1.49932E+12,1800,1.49932E+12,1611,,,,FALSE,TRUE,FALSE,FALSE
telephone,/data/AIUI/sr/600/0360-02.pcm,1.49932E+12,1920,1.49932E+12,1674,,,,FALSE,TRUE,FALSE,FALSE
telephone,/data/AIUI/sr/600/0360-03.pcm,1.49932E+12,960,1.49932E+12,1568,,,,FALSE,TRUE,FALSE,FALSE
telephone,/data/AIUI/sr/600/0361-01.pcm,1.49932E+12,1620,1.49932E+12,2230,,,,FALSE,FALSE,TRUE,FALSE
telephone,/data/AIUI/sr/600/0361-02.pcm,1.49932E+12,2360,1.49932E+12,1913,,,,FALSE,TRUE,FALSE,FALSE
telephone,/data/AIUI/sr/600/0361-04.pcm,1.49932E+12,940,1.49932E+12,1743,,,,FALSE,TRUE,FALSE,FALSE
telephone,/data/AIUI/sr/600/0362-01.pcm,1.49932E+12,1570,1.49932E+12,1610,,,,FALSE,TRUE,FALSE,FALSE
telephone,/data/AIUI/sr/600/0362-02.pcm,1.49932E+12,2400,1.49932E+12,2010,,,,FALSE,FALSE,TRUE,FALSE
telephone,/data/AIUI/sr/600/0362-03.pcm,1.49932E+12,1750,1.49932E+12,1830,,,,FALSE,TRUE,FALSE,FALSE
telephone,/data/AIUI/sr/600/0362-04.pcm,1.49932E+12,1380,1.49932E+12,1830,,,,FALSE,TRUE,FALSE,FALSE
telephone,/data/AIUI/sr/600/0363-01.pcm,1.49932E+12,2330,1.49932E+12,1739,,,,FALSE,TRUE,FALSE,FALSE
telephone,/data/AIUI/sr/600/0363-02.pcm,,,,,,,,FALSE,FALSE,FALSE,FALSE
telephone,/data/AIUI/sr/600/0363-03.pcm,1.49932E+12,1910,1.49932E+12,1728,,,,FALSE,TRUE,FALSE,FALSE
telephone,/data/AIUI/sr/600/0363-04.pcm,1.49932E+12,960,1.49932E+12,1744,,,,FALSE,TRUE,FALSE,FALSE
telephone,/data/AIUI/sr/600/0364-01.pcm,1.49932E+12,2290,1.49932E+12,1826,,,,FALSE,TRUE,FALSE,FALSE
telephone,/data/AIUI/sr/600/0364-02.pcm,1.49932E+12,2540,1.49932E+12,1976,,,,FALSE,TRUE,FALSE,FALSE
telephone,/data/AIUI/sr/600/0364-03.pcm,,,,,,,,FALSE,FALSE,FALSE,FALSE
telephone,/data/AIUI/sr/600/0364-04.pcm,1.49932E+12,1770,1.49932E+12,1783,,,,FALSE,TRUE,FALSE,FALSE
telephone,/data/AIUI/sr/600/0365-01.pcm,1.49932E+12,1720,1.49932E+12,1953,,,,FALSE,TRUE,FALSE,FALSE
train,/data/AIUI/sr/600/0261-04.pcm,1.49932E+12,3500,1.49932E+12,1577,,1693,,FALSE,TRUE,FALSE,FALSE
train,/data/AIUI/sr/600/0435-03.pcm,1.49932E+12,2550,1.49932E+12,1808,,,,FALSE,TRUE,FALSE,FALSE
train,/data/AIUI/sr/600/0487-01.pcm,1.49932E+12,2070,1.49932E+12,1693,,,,FALSE,TRUE,FALSE,FALSE
video,/data/AIUI/sr/600/0014-04.pcm,1.49932E+12,860,1.49932E+12,1764,,1607,,FALSE,TRUE,FALSE,FALSE
video,/data/AIUI/sr/600/0329-04.pcm,1.49932E+12,870,1.49932E+12,1640,,,,FALSE,TRUE,FALSE,FALSE
video,/data/AIUI/sr/600/0330-01.pcm,1.49932E+12,1280,1.49932E+12,1594,,,,FALSE,TRUE,FALSE,FALSE
video,/data/AIUI/sr/600/0330-02.pcm,1.49932E+12,1140,1.49932E+12,1538,,,,FALSE,TRUE,FALSE,FALSE
