sr_time:275, nlu_time:119, sum_time:399
sr_time:661, nlu_time:92, sum_time:763
sr_time:331, nlu_time:62, sum_time:400
sr_time:236, nlu_time:100, sum_time:342
sr_time:365, nlu_time:111, sum_time:483
sr_time:320, nlu_time:86, sum_time:412
sr_time:421, nlu_time:79, sum_time:505
sr_time:477, nlu_time:100, sum_time:584
sr_time:741, nlu_time:46, sum_time:794
sr_time:245, nlu_time:156, sum_time:409
sr_time:258, nlu_time:76, sum_time:341
sr_time:529, nlu_time:126, sum_time:662
sr_time:297, nlu_time:134, sum_time:436
sr_time:386, nlu_time:106, sum_time:498
sr_time:224, nlu_time:94, sum_time:325
sr_time:219, nlu_time:113, sum_time:339
sr_time:277, nlu_time:70, sum_time:352
sr_time:424, nlu_time:100, sum_time:531
sr_time:471, nlu_time:68, sum_time:545
sr_time:319, nlu_time:130, sum_time:455
sr_time:530, nlu_time:66, sum_time:603
sr_time:569, nlu_time:98, sum_time:674
sr_time:395, nlu_time:99, sum_time:500
sr_time:672, nlu_time:59, sum_time:736
sr_time:231, nlu_time:174, sum_time:412
sr_time:230, nlu_time:155, sum_time:391
sr_time:1289, nlu_time:109, sum_time:1405
sr_time:473, nlu_time:86, sum_time:565
sr_time:351, nlu_time:79, sum_time:436
sr_time:200, nlu_time:94, sum_time:301
sr_time:873, nlu_time:100, sum_time:979
sr_time:440, nlu_time:110, sum_time:557
sr_time:358, nlu_time:89, sum_time:453
sr_time:494, nlu_time:132, sum_time:633
sr_time:324, nlu_time:175, sum_time:504
sr_time:486, nlu_time:66, sum_time:558
sr_time:178, nlu_time:110, sum_time:294
sr_time:218, nlu_time:98, sum_time:322
sr_time:752, nlu_time:64, sum_time:822
sr_time:766, nlu_time:71, sum_time:842
sr_time:1173, nlu_time:40, sum_time:1218
sr_time:309, nlu_time:79, sum_time:394
sr_time:483, nlu_time:58, sum_time:548
sr_time:600, nlu_time:53, sum_time:659
sr_time:1097, nlu_time:63, sum_time:1170
sr_time:584, nlu_time:50, sum_time:641
sr_time:459, nlu_time:102, sum_time:568
sr_time:673, nlu_time:70, sum_time:750
sr_time:375, nlu_time:81, sum_time:462
sr_time:524, nlu_time:86, sum_time:617
sr_time:393, nlu_time:74, sum_time:473
sr_time:357, nlu_time:85, sum_time:448
sr_time:1158, nlu_time:121, sum_time:1285
sr_time:693, nlu_time:87, sum_time:786
sr_time:564, nlu_time:82, sum_time:652
sr_time:302, nlu_time:83, sum_time:391
sr_time:635, nlu_time:63, sum_time:703
sr_time:458, nlu_time:52, sum_time:516
sr_time:462, nlu_time:76, sum_time:545
sr_time:993, nlu_time:68, sum_time:1068
sr_time:383, nlu_time:94, sum_time:484
sr_time:1017, nlu_time:115, sum_time:1139
sr_time:513, nlu_time:85, sum_time:604
sr_time:416, nlu_time:72, sum_time:494
sr_time:707, nlu_time:60, sum_time:773
sr_time:443, nlu_time:100, sum_time:550
sr_time:336, nlu_time:80, sum_time:423
sr_time:624, nlu_time:88, sum_time:720
sr_time:1100, nlu_time:85, sum_time:1191
sr_time:176, nlu_time:85, sum_time:268
sr_time:555, nlu_time:88, sum_time:650
sr_time:329, nlu_time:64, sum_time:398
sr_time:1191, nlu_time:57, sum_time:1254
sr_time:934, nlu_time:57, sum_time:997
sr_time:511, nlu_time:56, sum_time:573
sr_time:562, nlu_time:75, sum_time:644
sr_time:596, nlu_time:112, sum_time:715
sr_time:611, nlu_time:55, sum_time:672
sr_time:1623, nlu_time:150, sum_time:1778
sr_time:531, nlu_time:55, sum_time:592
sr_time:905, nlu_time:43, sum_time:955
sr_time:511, nlu_time:66, sum_time:583
sr_time:852, nlu_time:73, sum_time:931
sr_time:776, nlu_time:76, sum_time:860
sr_time:444, nlu_time:64, sum_time:514
sr_time:419, nlu_time:53, sum_time:477
sr_time:437, nlu_time:107, sum_time:551
sr_time:871, nlu_time:76, sum_time:953
sr_time:415, nlu_time:68, sum_time:489
sr_time:847, nlu_time:162, sum_time:1015
sr_time:490, nlu_time:68, sum_time:565
sr_time:396, nlu_time:73, sum_time:475
sr_time:501, nlu_time:72, sum_time:581
sr_time:967, nlu_time:44, sum_time:1017
sr_time:189, nlu_time:80, sum_time:276
sr_time:255, nlu_time:54, sum_time:315
sr_time:336, nlu_time:78, sum_time:420
sr_time:759, nlu_time:75, sum_time:839
sr_time:660, nlu_time:128, sum_time:795
sr_time:582, nlu_time:182, sum_time:770
sr_time:508, nlu_time:75, sum_time:589
sr_time:612, nlu_time:182, sum_time:801
sr_time:658, nlu_time:190, sum_time:855
sr_time:474, nlu_time:190, sum_time:671
sr_time:778, nlu_time:192, sum_time:982
sr_time:470, nlu_time:148, sum_time:625
sr_time:440, nlu_time:138, sum_time:584
sr_time:590, nlu_time:246, sum_time:843
sr_time:399, nlu_time:226, sum_time:634
sr_time:254, nlu_time:209, sum_time:470
sr_time:437, nlu_time:219, sum_time:664
sr_time:327, nlu_time:234, sum_time:568
sr_time:325, nlu_time:235, sum_time:567
sr_time:335, nlu_time:218, sum_time:561
sr_time:273, nlu_time:224, sum_time:504
sr_time:654, nlu_time:122, sum_time:783
sr_time:509, nlu_time:161, sum_time:679
sr_time:236, nlu_time:218, sum_time:461
sr_time:397, nlu_time:148, sum_time:553
sr_time:962, nlu_time:91, sum_time:1058
sr_time:553, nlu_time:153, sum_time:712
sr_time:237, nlu_time:149, sum_time:392
sr_time:404, nlu_time:147, sum_time:558
sr_time:397, nlu_time:163, sum_time:566
sr_time:219, nlu_time:177, sum_time:403
