native_heap_alloc,native_pss,dalvik_heap_alloc,dalvik_pss
7041,32,4278,7738
7042,32,4411,7738
7042,32,4544,7738
7038,32,3640,7738
7039,32,3774,7738
7040,32,3908,7738
7041,32,4066,7738
7042,32,4198,7738
7043,32,4331,7738
7043,32,4461,7738
7039,32,3563,7738
7040,32,3694,7738
7041,32,3831,7738
7042,32,3985,7738
7043,32,4119,7738
7043,32,4251,7738
7044,32,4384,7738
7045,32,4516,7738
7041,32,3616,7738
7042,32,3773,7738
7043,32,3906,7738
7043,32,4039,7738
7044,32,4170,7738
7045,32,4304,7738
7046,32,4436,7738
7042,32,3552,7738
7042,32,3682,7738
7043,32,3817,7738
7044,32,3947,7738
7045,32,4081,7738
7046,32,4211,7738
7046,32,4348,7738
7047,32,4502,7738
7043,32,3613,7738
7044,32,3744,7738
7045,32,3876,7738
7046,32,4008,7738
7046,32,4143,7738
7047,32,4300,7738
7048,32,4431,7738
7044,32,3521,7738
7044,32,3651,7738
7045,32,3784,7738
7046,32,3920,7738
7047,32,4051,7738
7048,32,4210,7738
7049,32,4342,7738
7049,32,4473,7738
7045,32,3588,7738
7046,32,3719,7738
7047,32,3855,7738
7048,32,4008,7738
7049,32,4142,7738
7050,32,4274,7738
7050,32,4408,7738
7051,32,4542,7738
7047,32,3639,7738
7048,32,3796,7738
7049,32,3933,7738
7050,32,4061,7738
7050,32,4194,7738
7051,32,4329,7738
7052,32,4465,7738
7048,32,3588,7738
7049,32,3719,7738
7050,32,3854,7738
7051,32,3983,7738
7051,32,4117,7738
7052,32,4251,7738
7053,32,4412,7738
7054,32,4541,7738
7049,32,3643,7738
7050,32,3770,7738
7051,32,3907,7738
7052,32,4038,7738
7053,32,4175,7738
7054,32,4328,7738
7054,32,4464,7738
7050,32,3559,7738
7051,32,3693,7738
7052,32,3824,7738
7053,32,3959,7738
7054,32,4116,7738
7055,32,4248,7738
7055,32,4382,7738
7056,32,4512,7738
7052,32,3613,7738
7053,32,3744,7738
7054,32,3905,7738
7055,32,4038,7738
7055,32,4171,7738
7056,32,4300,7738
7057,32,4435,7738
7052,32,3521,7738
7053,32,3658,7738
7054,32,3812,7738
7055,32,3946,7738
7056,32,4078,7738
7057,32,4207,7738
7057,32,4341,7738
7058,32,4478,7738
7055,32,3611,7738
7055,32,3743,7738
7056,32,3875,7738
7057,32,4006,7738
7057,32,4139,7738
7058,32,4274,7738
7059,32,4406,7738
7055,32,3520,7738
7056,32,3653,7738
7056,32,3784,7738
7057,32,3915,7738
7058,32,4050,7738
7059,32,4183,7738
7060,32,4341,7738
7061,32,4475,7738
7056,32,3583,7738
7057,32,3712,7738
7058,32,3847,7738
7059,32,3983,7738
7060,32,4140,7738
7061,32,4272,7738
7061,32,4403,7738
7062,32,4535,7738
7058,32,3633,7738
7059,32,3769,7738
7060,32,3900,7738
7061,32,4059,7738
7062,32,4191,7738
7062,32,4322,7738
7063,32,4454,7738
7059,32,3554,7738
7060,32,3688,7738
7061,32,3845,7738
7062,32,3978,7738
7062,32,4110,7738
7063,32,4242,7738
7064,32,4375,7738
7065,32,4511,7738
7061,32,3633,7738
7062,32,3764,7738
7062,32,3898,7738
7063,32,4028,7738
7064,32,4162,7738
